User	Sim	Time	Index	User or Model?	Event	Item	Action	Charge	Connection	Battery voltage	Separation	Area	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
90447168	capacitor-lab-basics	220.55	2327	user	recording data	table							{"1": {"Battery voltage": 1.5, "Area": 400.0, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.53, "trialNumber": 1, "Separation": 10.0}, "3": {"Battery voltage": 1.5, "Area": 300.0, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.4, "trialNumber": 3, "Separation": 10.0}, "4": {"Battery voltage": 1.5, "Area": 350.00000000000006, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.46, "trialNumber": 4, "Separation": 10.0}, "5": {"Battery voltage": 1.5, "Area": 249.99999999999994, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.33, "trialNumber": 5, "Separation": 10.0}, "6": {"Battery voltage": 1.5, "Area": 200.0, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.27, "trialNumber": 6, "Separation": 10.0}}						
90447168	capacitor-lab-basics	221.66	2328	user	dragStarted	plateAreaDragHandleNode													
90447168	capacitor-lab-basics	221.92	2329	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	221.94	2331	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	221.98	2333	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	221.99	2334	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.01	2336	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.03	2338	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.04	2341	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.09	2342	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.11	2344	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.19	2347	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.19	2348	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.81	2351	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	222.9	2352	user	dragged	plateAreaDragHandleNode	increasing												
90447168	capacitor-lab-basics	223.1	2355	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	223.15	2356	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	223.25	2357	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	223.45	2358	user	dragged	plateAreaDragHandleNode	increasing												
90447168	capacitor-lab-basics	224.08	2361	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	224.26	2362	user	dragEnded	plateAreaDragHandleNode													
90447168	capacitor-lab-basics	225.61	2367	user	recording data	table							{"1": {"Battery voltage": 1.5, "Area": 400.0, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.53, "trialNumber": 1, "Separation": 10.0}, "3": {"Battery voltage": 1.5, "Area": 300.0, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.4, "trialNumber": 3, "Separation": 10.0}, "4": {"Battery voltage": 1.5, "Area": 350.00000000000006, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.46, "trialNumber": 4, "Separation": 10.0}, "5": {"Battery voltage": 1.5, "Area": 249.99999999999994, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.33, "trialNumber": 5, "Separation": 10.0}, "6": {"Battery voltage": 1.5, "Area": 200.0, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.27, "trialNumber": 6, "Separation": 10.0}, "7": {"Battery voltage": 1.5, "Area": 149.99999999999997, "Connection": "BATTERY_CONNECTED", "Capacitor voltage": 1.5, "visible": false, "Charge": 0.2, "trialNumber": 7, "Separation": 10.0}}						
90447168	capacitor-lab-basics	226.71	2368	user	dragStarted	plateAreaDragHandleNode													
90447168	capacitor-lab-basics	227.0	2369	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	227.03	2371	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	227.06	2373	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	227.07	2375	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	227.15	2377	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	227.55	2378	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	227.59	2380	user	dragged	plateAreaDragHandleNode	decreasing												
90447168	capacitor-lab-basics	228.0	2382	user	dragEnded	plateAreaDragHandleNode													
