User	Sim	Time	Index	User or Model?	Event	Item	Action	Charge	Connection	Battery voltage	Separation	Area	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
12816168	capacitor_charge	10.16	1217	model	updating state			0.1	BATTERY_CONNECTED	1.1263	10.0	100.0							
12816168	capacitor_charge	10.16	1220	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	10.16	1223	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	10.2	1226	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	10.22	1229	model	updating state			-0.04	BATTERY_CONNECTED	-0.4505	10.0	100.0							
12816168	capacitor_charge	10.22	1232	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	10.22	1235	user	dragged	batteryNode	decreasing												
12816168	capacitor_charge	10.24	1238	model	updating state			-0.13	BATTERY_CONNECTED	-1.5	10.0	100.0							
12816168	capacitor_charge	10.24	1241	user	dragged	batteryNode													
12816168	capacitor_charge	10.24	1244	model	updating state			-0.13	BATTERY_CONNECTED	-1.5	10.0	100.0							
12816168	capacitor_charge	10.24	1247	user	dragged	batteryNode													
12816168	capacitor_charge	10.25	1251	user	dragged	batteryNode													
12816168	capacitor_charge	10.26	1254	user	dragged	batteryNode													
12816168	capacitor_charge	10.26	1258	user	dragged	batteryNode													
12816168	capacitor_charge	10.28	1261	user	dragged	batteryNode													
12816168	capacitor_charge	10.28	1265	user	dragged	batteryNode													
12816168	capacitor_charge	10.3	1268	user	dragged	batteryNode													
12816168	capacitor_charge	10.3	1272	user	dragged	batteryNode													
12816168	capacitor_charge	10.31	1275	user	dragged	batteryNode													
12816168	capacitor_charge	10.31	1279	user	dragged	batteryNode													
12816168	capacitor_charge	10.32	1282	user	dragged	batteryNode													
12816168	capacitor_charge	10.33	1286	user	dragged	batteryNode													
12816168	capacitor_charge	10.33	1289	user	dragged	batteryNode													
12816168	capacitor_charge	10.34	1293	user	dragged	batteryNode													
12816168	capacitor_charge	10.35	1296	user	dragged	batteryNode													
12816168	capacitor_charge	10.36	1300	user	dragged	batteryNode													
12816168	capacitor_charge	10.36	1303	user	dragged	batteryNode													
12816168	capacitor_charge	10.38	1307	user	dragged	batteryNode													
12816168	capacitor_charge	10.38	1310	user	dragged	batteryNode													
12816168	capacitor_charge	10.39	1314	user	dragged	batteryNode													
12816168	capacitor_charge	10.4	1317	user	dragged	batteryNode													
12816168	capacitor_charge	10.41	1321	user	dragged	batteryNode													
12816168	capacitor_charge	10.41	1324	user	dragged	batteryNode													
12816168	capacitor_charge	10.43	1328	user	dragged	batteryNode													
12816168	capacitor_charge	10.43	1331	user	dragged	batteryNode													
12816168	capacitor_charge	10.44	1335	user	dragged	batteryNode													
12816168	capacitor_charge	10.45	1338	user	dragged	batteryNode													
12816168	capacitor_charge	10.46	1342	user	dragged	batteryNode													
12816168	capacitor_charge	10.46	1345	user	dragged	batteryNode													
12816168	capacitor_charge	10.48	1348	user	dragged	batteryNode													
12816168	capacitor_charge	10.48	1352	user	dragged	batteryNode													
12816168	capacitor_charge	10.5	1356	user	dragged	batteryNode													
