User	Sim	Timestamp	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
test		1484680974608	1317	model	updating state	none	none	True	780	1.408	0.1	1.353088	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974637	1322	user	dragged	cuvetteNode	increasing														
test		1484680974658	1325	user	dragged	cuvetteNode	increasing														
test		1484680974674	1328	user	dragged	cuvetteNode	increasing														
test		1484680974674	1330	model	updating state	none	none	True	780	1.448	0.1	1.391528	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974687	1333	user	dragged	cuvetteNode	increasing														
test		1484680974688	1335	model	updating state	none	none	True	780	1.464	0.1	1.406904	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974701	1338	user	dragged	cuvetteNode	increasing														
test		1484680974701	1340	model	updating state	none	none	True	780	1.488	0.1	1.429968	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974710	1343	user	dragged	cuvetteNode	increasing														
test		1484680974710	1345	model	updating state	none	none	True	780	1.496	0.1	1.437656	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974748	1350	user	dragged	cuvetteNode	increasing														
test		1484680974761	1352	model	updating state	none	none	True	780	1.504	0.1	1.445344	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974764	1355	user	dragged	cuvetteNode	increasing														
test		1484680974777	1357	model	updating state	none	none	True	780	1.52	0.1	1.46072	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974779	1360	user	dragged	cuvetteNode	increasing														
test		1484680974780	1363	user	dragged	cuvetteNode	increasing														
test		1484680974795	1365	model	updating state	none	none	True	780	1.536	0.1	1.476096	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974800	1368	user	dragged	cuvetteNode	increasing														
test		1484680974811	1370	model	updating state	none	none	True	780	1.544	0.1	1.483784	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974812	1373	user	dragged	cuvetteNode	none														
test		1484680974828	1376	user	dragged	cuvetteNode	increasing														
test		1484680974828	1378	model	updating state	none	none	True	780	1.56	0.1	1.49916	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974864	1382	user	dragged	cuvetteNode	increasing														
test		1484680974864	1384	model	updating state	none	none	True	780	1.568	0.1	1.506848	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974891	1389	user	dragged	cuvetteNode	increasing														
test		1484680974909	1391	model	updating state	none	none	True	780	1.576	0.1	1.514536	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974931	1395	user	dragged	cuvetteNode	increasing														
test		1484680974942	1397	model	updating state	none	none	True	780	1.584	0.1	1.522224	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974947	1400	user	dragged	cuvetteNode	increasing														
test		1484680974958	1402	model	updating state	none	none	True	780	1.6	0.1	1.5376	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680974963	1405	user	dragged	cuvetteNode	increasing														
test		1484680974977	1407	model	updating state	none	none	True	780	1.608	0.1	1.545288	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975032	1413	user	dragged	cuvetteNode	increasing														
test		1484680975041	1415	model	updating state	none	none	True	780	1.616	0.1	1.552976	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975333	1434	user	dragged	cuvetteNode	decreasing														
test		1484680975333	1437	user	dragged	cuvetteNode	decreasing														
test		1484680975334	1439	model	updating state	none	none	True	780	1.568	0.1	1.506848	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975356	1442	user	dragged	cuvetteNode	decreasing														
test		1484680975356	1444	model	updating state	none	none	True	780	1.544	0.1	1.483784	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975375	1447	user	dragged	cuvetteNode	decreasing														
test		1484680975375	1449	model	updating state	none	none	True	780	1.52	0.1	1.46072	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975396	1452	user	dragged	cuvetteNode	decreasing														
test		1484680975397	1454	model	updating state	none	none	True	780	1.488	0.1	1.429968	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975403	1459	user	dragged	cuvetteNode	decreasing														
test		1484680975409	1462	user	dragged	cuvetteNode	decreasing														
test		1484680975441	1465	user	dragged	cuvetteNode	decreasing														
test		1484680975441	1467	model	updating state	none	none	True	780	1.424	0.1	1.368464	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975497	1470	user	dragged	cuvetteNode	decreasing														
test		1484680975497	1472	model	updating state	none	none	True	780	1.36	0.1	1.30696	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975522	1475	user	dragged	cuvetteNode	decreasing														
test		1484680975526	1477	model	updating state	none	none	True	780	1.312	0.1	1.260832	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975527	1481	user	dragged	cuvetteNode	decreasing														
test		1484680975531	1484	user	dragged	cuvetteNode	decreasing														
test		1484680975541	1486	model	updating state	none	none	True	780	1.272	0.1	1.222392	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975543	1489	user	dragged	cuvetteNode	decreasing														
test		1484680975618	1491	model	updating state	none	none	True	780	1.256	0.1	1.207016	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975653	1494	user	dragged	cuvetteNode	decreasing														
test		1484680975661	1496	model	updating state	none	none	True	780	1.208	0.1	1.160888	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975662	1499	user	dragged	cuvetteNode	decreasing														
test		1484680975662	1501	model	updating state	none	none	True	780	1.152	0.1	1.107072	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975668	1504	user	dragged	cuvetteNode	decreasing														
test		1484680975676	1507	user	dragged	cuvetteNode	decreasing														
test		1484680975677	1509	model	updating state	none	none	True	780	1.136	0.1	1.091696	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975678	1512	user	dragged	cuvetteNode	none														
test		1484680975748	1519	user	dragged	cuvetteNode	decreasing														
test		1484680975760	1521	model	updating state	none	none	True	780	1.12	0.1	1.07632	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975773	1525	user	dragged	cuvetteNode	decreasing														
test		1484680975778	1528	user	dragged	cuvetteNode	decreasing														
test		1484680975794	1530	model	updating state	none	none	True	780	1.096	0.1	1.053256	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975795	1533	user	dragged	cuvetteNode	decreasing														
test		1484680975799	1536	user	dragged	cuvetteNode	decreasing														
test		1484680975809	1539	user	dragged	cuvetteNode	decreasing														
test		1484680975809	1541	model	updating state	none	none	True	780	1.064	0.1	1.022504	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975812	1544	user	dragged	cuvetteNode	decreasing														
test		1484680975827	1546	model	updating state	none	none	True	780	1.056	0.1	1.014816	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975828	1549	user	dragged	cuvetteNode	decreasing														
test		1484680975840	1551	model	updating state	none	none	True	780	1.048	0.1	1.007128	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680975870	1554	user	dragged	cuvetteNode	decreasing														
test		1484680975870	1557	user	dragged	cuvetteNode	none														
test		1484680975871	1559	model	updating state	none	none	True	780	1.04	0.1	0.99944	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
test		1484680976947	1626	user	dragEnded	cuvetteNode	none														
test		1484680980709	1889	user	editing notes	notepad	none														I
test		1484680980886	1901	user	editing notes	notepad	none														In
test		1484680980989	1908	user	editing notes	notepad	none														Inc
test		1484680981342	1930	user	editing notes	notepad	none														Incre
test		1484680981444	1937	user	editing notes	notepad	none														Increa
test		1484680981780	1958	user	editing notes	notepad	none														Increase
test		1484680984758	2138	user	editing notes	notepad	none														Increase 
test		1484680984915	2148	user	editing notes	notepad	none														Increase w
test		1484680985041	2157	user	editing notes	notepad	none														Increase wi
test		1484680985208	2168	user	editing notes	notepad	none														Increase wid
test		1484680985790	2204	user	editing notes	notepad	none														Increase widt
test		1484680985883	2211	user	editing notes	notepad	none														Increase width
test		1484680986717	2261	user	editing notes	notepad	none														Increase width 
test		1484680987281	2296	user	editing notes	notepad	none														Increase width =
test		1484680987444	2307	user	editing notes	notepad	none														Increase width = 
test		1484680987716	2324	user	editing notes	notepad	none														Increase width = i
test		1484680987926	2338	user	editing notes	notepad	none														Increase width = in
test		1484680988043	2346	user	editing notes	notepad	none														Increase width = inc
test		1484680988303	2363	user	editing notes	notepad	none														Increase width = incre
test		1484680988589	2381	user	editing notes	notepad	none														Increase width = increas
test		1484680988695	2388	user	editing notes	notepad	none														Increase width = increase
test		1484680989546	2440	user	editing notes	notepad	none														Increase width = increase 
test		1484680989734	2453	user	editing notes	notepad	none														Increase width = increase a
test		1484680989939	2466	user	editing notes	notepad	none														Increase width = increase ab
test		1484680990118	2478	user	editing notes	notepad	none														Increase width = increase abs
test		1484680990202	2484	user	editing notes	notepad	none														Increase width = increase abso
test		1484680990329	2492	user	editing notes	notepad	none														Increase width = increase absor
test		1484680990687	2515	user	editing notes	notepad	none														Increase width = increase absorba
test		1484680990841	2525	user	editing notes	notepad	none														Increase width = increase absorbanc
test		1484680990960	2533	user	editing notes	notepad	none														Increase width = increase absorbance
test		1484680991929	2592	user	editing notes	notepad	none														Increase width = increase absorbance\n
