User	Sim	Time	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
83459165	light	0.0	0	model	initializing	sim	beersLawLab.sim.simStarted														
83459165	light	0.0	2	model	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	0.0	7	model	initializing	sim	beersLawLab.navigationBar.titleTextNode.textChanged														
83459165	light	15.5	1119	user	dragStarted	wavelengthControls															
83459165	light	15.6	1129	user	dragged	wavelengthControls	decreasing														
83459165	light	15.6	1132	user	dragged	wavelengthControls	decreasing														
83459165	light	15.6	1135	user	dragged	wavelengthControls	decreasing														
83459165	light	15.6	1137	model	updating state			False	760	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.6	1140	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1143	user	dragged	wavelengthControls															
83459165	light	15.7	1145	model	updating state			False	746	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.7	1148	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1151	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1153	model	updating state			False	726	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.7	1156	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1159	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1161	model	updating state			False	717	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.7	1164	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1167	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1169	model	updating state			False	707	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.7	1172	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1174	model	updating state			False	697	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.7	1177	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1180	user	dragged	wavelengthControls	decreasing														
83459165	light	15.7	1182	model	updating state			False	688	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.8	1185	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1187	model	updating state			False	683	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.8	1190	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1193	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1195	model	updating state			False	673	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.8	1198	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1200	model	updating state			False	664	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.8	1203	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1205	model	updating state			False	659	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.8	1208	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1211	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1213	model	updating state			False	644	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.8	1216	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1219	user	dragged	wavelengthControls	decreasing														
83459165	light	15.8	1221	model	updating state			False	635	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.8	1224	user	dragged	wavelengthControls	decreasing														
83459165	light	15.9	1226	model	updating state			False	630	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.9	1229	user	dragged	wavelengthControls	decreasing														
83459165	light	15.9	1232	user	dragged	wavelengthControls	decreasing														
83459165	light	15.9	1234	model	updating state			False	620	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.9	1237	user	dragged	wavelengthControls	decreasing														
83459165	light	15.9	1240	user	dragged	wavelengthControls	decreasing														
83459165	light	15.9	1242	model	updating state			False	606	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	15.9	1246	user	dragged	wavelengthControls	decreasing														
83459165	light	15.9	1248	model	updating state			False	596	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
83459165	light	16.0	1254	user	dragged	wavelengthControls	decreasing														
83459165	light	16.0	1257	user	dragged	wavelengthControls	decreasing														
83459165	light	16.0	1259	model	updating state			False	582	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
