User	Sim	Time	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
90447168	light_absorbance	164.46	20758	user	dragged	solutionControls															
90447168	light_absorbance	164.47	20761	user	dragged	solutionControls															
90447168	light_absorbance	164.48	20764	user	dragged	solutionControls															
90447168	light_absorbance	164.49	20768	user	dragged	solutionControls															
90447168	light_absorbance	164.5	20772	user	dragged	solutionControls															
90447168	light_absorbance	164.51	20775	user	dragged	solutionControls															
90447168	light_absorbance	164.53	20779	user	dragged	solutionControls															
90447168	light_absorbance	164.55	20783	user	dragged	solutionControls															
90447168	light_absorbance	164.57	20788	user	dragged	solutionControls															
90447168	light_absorbance	164.59	20792	user	dragged	solutionControls															
90447168	light_absorbance	167.82	20989	user	dragged	solutionControls															
90447168	light_absorbance	167.82	20992	user	dragged	solutionControls															
90447168	light_absorbance	167.83	20996	user	dragged	solutionControls															
90447168	light_absorbance	167.84	20999	user	dragged	solutionControls															
90447168	light_absorbance	167.85	21003	user	dragged	solutionControls															
90447168	light_absorbance	167.86	21006	user	dragged	solutionControls															
90447168	light_absorbance	167.86	21010	user	dragged	solutionControls															
90447168	light_absorbance	167.87	21013	user	dragged	solutionControls															
90447168	light_absorbance	167.88	21016	user	dragged	solutionControls															
90447168	light_absorbance	168.05	21030	user	dragged	solutionControls															
90447168	light_absorbance	168.06	21033	user	dragged	solutionControls															
90447168	light_absorbance	168.06	21037	user	dragged	solutionControls															
90447168	light_absorbance	168.07	21040	user	dragged	solutionControls															
90447168	light_absorbance	168.08	21044	user	dragged	solutionControls															
90447168	light_absorbance	168.09	21047	user	dragged	solutionControls															
90447168	light_absorbance	168.1	21051	user	dragged	solutionControls															
90447168	light_absorbance	168.14	21056	user	dragged	solutionControls															
90447168	light_absorbance	168.18	21061	user	dragged	solutionControls															
90447168	light_absorbance	168.19	21065	user	dragged	solutionControls															
90447168	light_absorbance	168.19	21068	user	dragged	solutionControls															
90447168	light_absorbance	168.2	21072	user	dragged	solutionControls															
90447168	light_absorbance	168.22	21076	user	dragged	solutionControls															
90447168	light_absorbance	168.23	21079	user	dragged	solutionControls															
90447168	light_absorbance	168.24	21083	user	dragged	solutionControls															
90447168	light_absorbance	168.24	21086	user	dragged	solutionControls															
90447168	light_absorbance	168.25	21090	user	dragged	solutionControls															
90447168	light_absorbance	168.26	21093	user	dragged	solutionControls															
90447168	light_absorbance	168.26	21097	user	dragged	solutionControls															
90447168	light_absorbance	168.27	21100	user	dragged	solutionControls															
90447168	light_absorbance	168.28	21104	user	dragged	solutionControls															
90447168	light_absorbance	168.29	21107	user	dragged	solutionControls															
90447168	light_absorbance	168.31	21111	user	dragged	solutionControls															
90447168	light_absorbance	168.31	21114	user	dragged	solutionControls															
90447168	light_absorbance	168.32	21118	user	dragged	solutionControls															
90447168	light_absorbance	168.34	21121	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.34	21123	model	updating state			True	780	2.0	0.0	0.02	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.37	21126	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.37	21128	model	updating state			True	780	2.0	0.01	0.23	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.38	21131	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.38	21133	model	updating state			True	780	2.0	0.02	0.33	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.4	21136	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.4	21138	model	updating state			True	780	2.0	0.02	0.36	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.42	21143	user	dragged	solutionControls															
90447168	light_absorbance	168.43	21147	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.44	21150	user	dragged	solutionControls															
90447168	light_absorbance	168.46	21152	model	updating state			True	780	2.0	0.02	0.43	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.46	21155	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.48	21157	model	updating state			True	780	2.0	0.03	0.5	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.48	21160	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.5	21162	model	updating state			True	780	2.0	0.03	0.57	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.51	21165	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.51	21168	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.51	21170	model	updating state			True	780	2.0	0.04	0.68	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.53	21173	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.53	21175	model	updating state			True	780	2.0	0.04	0.78	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.54	21178	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.54	21180	model	updating state			True	780	2.0	0.05	0.89	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.55	21183	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.56	21185	model	updating state			True	780	2.0	0.05	0.96	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.58	21189	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.59	21191	model	updating state			True	780	2.0	0.05	0.99	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.59	21194	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.61	21196	model	updating state			True	780	2.0	0.05	1.03	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.61	21199	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.63	21201	model	updating state			True	780	2.0	0.06	1.16	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.63	21204	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.64	21206	model	updating state			True	780	2.0	0.07	1.37	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.64	21209	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.66	21211	model	updating state			True	780	2.0	0.08	1.51	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.68	21214	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.68	21216	model	updating state			True	780	2.0	0.08	1.55	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.72	21222	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.75	21224	model	updating state			True	780	2.0	0.08	1.58	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.76	21227	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.76	21229	model	updating state			True	780	2.0	0.08	1.62	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.78	21232	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.78	21234	model	updating state			True	780	2.0	0.09	1.65	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.82	21240	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.82	21243	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.84	21245	model	updating state			True	780	2.0	0.09	1.76	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.84	21248	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.86	21250	model	updating state			True	780	2.0	0.1	1.93	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.86	21253	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.88	21255	model	updating state			True	780	2.0	0.11	2.07	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.88	21258	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.89	21260	model	updating state			True	780	2.0	0.11	2.14	{u'y': 2, u'x': 6.184137931034483}	{u'y': 3.58, u'x': 3.3}							
90447168	light_absorbance	168.89	21263	user	dragged	solutionControls															
90447168	light_absorbance	168.9	21267	user	dragged	solutionControls	increasing														
90447168	light_absorbance	168.93	21270	user	dragged	solutionControls	increasing														
