User	Sim	Time	Index	User or Model	Component	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	diff in parsed table	Table	X axis	Y axis	X axis scale	Y axis scale	Notes
12263156	beers-law-lab	0.0	0	model	interface	initializing		beersLawLab.sim.simStarted									{}					
12263156	beers-law-lab	0.003	2	model	sim	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	0.016	13	model	interface	initializing		beersLawLab.navigationBar.titleTextNode.textChanged	False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	2.058	224	user	sim	toggle laser	laser button		False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	2.061	226	model	sim	updating state			True	780	1.0	0.1	0.96	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	3.327	310	user	sim	toggle laser	laser button		True	780	1.0	0.1	0.96	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	3.344	312	model	sim	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	3.797	342	user	sim	toggle laser	laser button		False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	3.816	344	model	sim	updating state			True	780	1.0	0.1	0.96	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	4.182	373	user	sim	toggle laser	laser button		True	780	1.0	0.1	0.96	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	4.199	375	model	sim	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.45	1975	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.451	1977	model	sim	updating state			False	780	1.0	0.101		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.549	1983	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.101		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.55	1985	model	sim	updating state			False	780	1.0	0.102		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.645	1991	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.102		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.645	1993	model	sim	updating state			False	780	1.0	0.103		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.739	1999	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.103		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.74	2001	model	sim	updating state			False	780	1.0	0.104		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.842	2007	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.104		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.842	2009	model	sim	updating state			False	780	1.0	0.105		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.945	2015	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.105		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	25.945	2017	model	sim	updating state			False	780	1.0	0.106		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.048	2023	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.106		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.049	2025	model	sim	updating state			False	780	1.0	0.107		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.143	2031	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.107		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.143	2033	model	sim	updating state			False	780	1.0	0.108		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.245	2039	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.108		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.246	2041	model	sim	updating state			False	780	1.0	0.109		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.339	2047	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.109		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.339	2049	model	sim	updating state			False	780	1.0	0.11		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.444	2055	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.11		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.444	2057	model	sim	updating state			False	780	1.0	0.111		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.546	2063	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.111		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.547	2065	model	sim	updating state			False	780	1.0	0.112		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.643	2071	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.112		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.643	2073	model	sim	updating state			False	780	1.0	0.113		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.743	2079	user	sim	Changed concentration	concentration slider	Pressed increment button	False	780	1.0	0.113		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	26.748	2081	model	sim	updating state			False	780	1.0	0.114		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.627	2193	user	sim	dragStarted	solutionControls		False	780	1.0	0.114		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.742	2203	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.114		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.764	2206	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.114		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.765	2208	model	sim	updating state			False	780	1.0	0.119431034483		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.765	2211	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.119431034483		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.788	2213	model	sim	updating state			False	780	1.0	0.128482758621		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.798	2216	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.128482758621		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.799	2219	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.128482758621		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.802	2221	model	sim	updating state			False	780	1.0	0.146586206897		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.802	2224	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.146586206897		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.813	2227	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.146586206897		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.814	2229	model	sim	updating state			False	780	1.0	0.161068965517		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.818	2232	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.161068965517		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.829	2235	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.161068965517		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.83	2237	model	sim	updating state			False	780	1.0	0.175551724138		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.83	2240	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.175551724138		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.85	2242	model	sim	updating state			False	780	1.0	0.179172413793		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.851	2245	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.179172413793		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.851	2248	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.179172413793		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.862	2251	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.179172413793		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.862	2253	model	sim	updating state			False	780	1.0	0.184603448276		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.863	2256	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.184603448276		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
12263156	beers-law-lab	27.878	2259	user	sim	dragged	solutionControls	increasing	False	780	1.0	0.184603448276		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}					
