User	Sim	Time	Index	User or Model?	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
19566168	beers-law-lab	0.0	0	model	initializing	sim	beersLawLab.sim.simStarted														
19566168	beers-law-lab	0.0	2	model	updating state			False	780	1.0	0.1		{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
19566168	beers-law-lab	0.03	15	model	initializing	sim	beersLawLab.navigationBar.titleTextNode.textChanged														
19566168	beers-law-lab	3.41	394	user	dragStarted	detectorNode															
19566168	beers-law-lab	3.44	398	user	dragged	detectorNode	increasing														
19566168	beers-law-lab	3.45	400	model	updating state			False	780	1.0	0.1		{u'y': 2.01448275862069, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}							
19566168	beers-law-lab	3.51	407	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.52	410	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.55	412	model	updating state			False	780	1.0	0.1		{u'y': 2.01448275862069, u'x': 6.271034482758622}	{u'y': 3.58, u'x': 3.3}							
19566168	beers-law-lab	3.57	415	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.57	418	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.57	420	model	updating state			False	780	1.0	0.1		{u'y': 2.043448275862069, u'x': 6.169655172413794}	{u'y': 3.58, u'x': 3.3}							
19566168	beers-law-lab	3.59	423	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.59	426	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.59	429	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.59	431	model	updating state			False	780	1.0	0.1		{u'y': 2.0724137931034483, u'x': 6.039310344827587}	{u'y': 3.58, u'x': 3.3}							
19566168	beers-law-lab	3.6	434	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.61	437	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.61	440	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.61	442	model	updating state			False	780	1.0	0.1		{u'y': 2.086896551724138, u'x': 5.981379310344828}	{u'y': 3.58, u'x': 3.3}							
19566168	beers-law-lab	3.61	445	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.63	448	user	dragged	detectorNode	decreasing														
19566168	beers-law-lab	3.63	450	model	updating state			False	780	1.0	0.1		{u'y': 2.1013793103448277, u'x': 5.88}	{u'y': 3.58, u'x': 3.3}							
