User	Sim	Time	Index	User or Model	Component	Event	Item	Action	Laser on status	Wavelength	Width	Concentration	Absorption	Detector location	Ruler location	diff in parsed table	Table	X axis	Y axis	X axis scale	Y axis scale	Experiment #s included	Notes
13122150	beers-law-lab	8.85	1066	user	sim	dragged	wavelengthControls	decreasing	True	726	1.0	0.1	0.54	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.85	1068	model	sim	updating state			True	721	1.0	0.1	0.5	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	8.92	1076	user	sim	dragged	wavelengthControls	decreasing	True	721	1.0	0.1	0.5	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	9.0	1078	model	sim	updating state			True	712	1.0	0.1	0.43	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	9.03	1082	user	sim	dragged	wavelengthControls	decreasing	True	712	1.0	0.1	0.43	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	9.03	1084	model	sim	updating state			True	702	1.0	0.1	0.36	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	9.05	1089	user	sim	dragged	wavelengthControls	decreasing	True	702	1.0	0.1	0.36	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	9.07	1091	model	sim	updating state			True	692	1.0	0.1	0.3	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	9.1	1096	user	sim	dragged	wavelengthControls	decreasing	True	692	1.0	0.1	0.3	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
13122150	beers-law-lab	9.12	1098	model	sim	updating state			True	683	1.0	0.1	0.24	{u'y': 2, u'x': 6.3}	{u'y': 3.58, u'x': 3.3}		{}						
